iter	RMSE
0	156.6735377
1	151.365024
2	151.364947
3	147.2448518
4	143.1160499
5	139.8032358
6	137.0816158
7	135.3317147
8	134.2437543
9	134.2430616
10	131.8222292
11	127.1867097
12	126.1525005
13	124.6917901
14	124.6857561
15	123.4018497
16	122.6069514
17	120.0686929
18	119.5216758
19	117.4853123
20	116.8725048
21	115.2859535
22	114.2653679
23	114.0856012
24	113.0690727
25	112.3078597
26	109.3674609
27	108.5270647
28	106.6652579
29	106.3099481
30	106.307661
31	105.855231
32	105.8445319
33	104.8985415
34	104.3111106
35	104.3037562
36	103.9140397
37	103.6088032
38	102.4957021
39	102.1892893
40	101.9569543
41	101.7337833
42	101.6831615
43	100.5716208
44	100.0002249
45	99.88531106
46	99.30749337
47	96.23265797
48	95.85550475
49	94.18433745
50	94.02603225
51	93.58494682
52	93.5844968
53	91.94193493
54	90.21217341
55	89.60415379
56	89.53134258
57	86.90757921
58	86.63048304
59	86.10865769
60	84.85883791
61	82.67366018
62	82.67295864
63	82.42835298
64	82.18209547
65	82.13112152
66	81.63071474
67	81.55993688
68	81.43332082
69	80.35208409
70	78.7654422
71	78.73453397
72	78.65050275
73	77.53452997
74	77.48729108
75	77.48359305
76	77.48334341
77	77.33872327
78	77.33850652
79	75.46943931
80	74.15975741
81	73.6845066
82	72.82307682
83	71.9268238
84	71.7196452
85	70.3058271
86	69.9313274
87	68.32701249
88	68.25440555
89	66.76632709
90	65.55939721
91	65.55925235
92	64.40286959
93	63.0206789
94	62.57813494
95	61.61282143
96	60.97788483
97	60.89421967
98	60.89405802
99	60.86986401
100	59.46421328
101	58.27949109
102	57.86258862
103	57.809939
104	57.76633111
105	57.57091677
106	57.57082654
107	57.12023
108	56.71157645
109	56.30175321
110	56.16494314
111	55.9191635
112	55.77892842
113	55.66299112
114	55.05163479
115	54.6611503
116	54.66049225
117	54.37506309
118	54.31131114
119	53.91428286
120	53.14493956
121	52.84881606
122	52.84876302
123	52.8487159
124	52.25284783
125	52.23875859
126	51.82795431
127	51.39857952
128	51.25779413
129	50.5187061
130	50.35788498
131	50.35292252
132	50.3459251
133	50.34592389
134	49.51273426
135	49.42103145
136	49.3426808
137	49.16643236
138	49.16639677
139	48.84450634
140	48.54777156
141	47.99062214
142	47.91553746
143	47.62679028
144	46.9019374
145	46.89112831
146	46.66489589
147	46.49540125
148	46.49539085
149	46.4953719
150	46.29422613
151	45.99896462
152	45.72731915
153	45.03563244
154	45.03560831
155	45.03558838
156	44.95692013
157	44.81712886
158	44.0953102
159	43.89705646
160	43.64274941
161	43.44419134
162	43.20000431
163	43.18068783
164	43.01462326
165	43.00838953
166	42.93743534
167	42.55019491
168	42.54561617
169	42.22879315
170	42.20608537
171	42.16982402
172	42.08209648
173	42.08209486
174	42.06059297
175	41.87046229
176	41.82443174
177	41.31386306
178	41.12538041
179	40.99577251
180	40.99575593
181	40.53320062
182	40.30299231
183	40.28575332
184	40.01394555
185	39.54342772
186	39.49249526
187	39.41657988
188	39.41655313
189	39.28866602
190	39.19002931
191	39.04149337
192	38.51045985
193	38.43292897
194	38.41064898
195	38.40824197
196	38.30400084
197	38.14458606
198	37.86990795
199	37.78805009
200	37.72305249
201	37.53426768
202	37.53422701
203	37.53419342
204	37.53235606
205	37.50009135
206	37.50007064
207	37.49451923
208	37.06340762
209	37.03886986
210	36.88941916
211	36.667417
212	36.66741553
213	36.22440178
214	36.10659893
215	35.76623666
216	35.76063563
217	35.76059818
218	35.75175906
219	35.60968626
220	35.59168907
221	35.59168426
222	35.42818584
223	35.42217281
224	35.42217178
225	35.4133043
226	35.39474227
227	35.38800803
228	35.38442057
229	35.29391905
230	35.01736606
231	34.86663235
232	34.80624465
233	34.68350058
234	34.60898723
235	34.60176927
236	34.56980774
237	34.51005062
238	34.3356845
239	34.28372401
240	34.16436527
241	34.16370651
242	33.97114648
243	33.95446122
244	33.94144512
245	33.70684428
246	33.49684746
247	33.30211904
248	33.19598117
249	33.17024658
250	33.16231701
251	33.16160969
252	33.15897506
253	33.15027375
254	33.14032633
255	32.84086503
256	32.68000087
257	32.6800002
258	32.51964903
259	32.33084265
260	32.29941269
261	32.26900061
262	32.25061854
263	32.17261138
264	31.86698388
265	31.58481932
266	31.46715453
267	31.24470827
268	31.10529201
269	31.10430233
270	31.09438282
271	31.09271436
272	31.0927139
273	30.95390891
274	30.95292651
275	30.94274843
276	30.81230849
277	30.79444873
278	30.71937438
279	30.5374453
280	30.53649684
281	30.50801527
282	30.46780661
283	30.32022062
284	30.29897949
285	30.11659211
286	30.06707375
287	30.06512172
288	30.06511091
289	30.06510454
290	29.9687154
291	29.96871017
292	29.82226945
293	29.82226533
294	29.79996752
295	29.7999656
296	29.79996402
297	29.70991453
298	29.68685696
299	29.59386149
300	29.59350281
301	29.57422184
302	29.51429774
303	29.33665074
304	29.33664545
305	29.26268474
306	29.13835636
307	29.08831403
308	28.89423062
309	28.79020643
310	28.78778677
311	28.66373187
312	28.52154536
313	28.52154501
314	28.52151871
315	28.52151847
316	28.43972165
317	28.43972047
318	28.43488249
319	28.4348819
320	28.35908573
321	28.27383521
322	28.14645586
323	28.08080622
324	28.08080603
325	27.90181312
326	27.90181249
327	27.78982613
328	27.66294584
329	27.62748227
330	27.47205149
331	27.44963672
332	27.29607871
333	27.28251918
334	27.27322617
335	27.21571439
336	27.07408484
337	27.07408159
338	27.059639
339	26.91048541
340	26.83561423
341	26.69468922
342	26.694687
343	26.69468516
344	26.69468364
345	26.68153872
346	26.6814996
347	26.55895363
348	26.52448877
349	26.35297969
350	26.34909325
351	26.27970944
352	26.2203627
353	26.12624084
354	26.12624008
355	26.12623946
356	26.00035724
357	25.8987535
358	25.63038256
359	25.56108814
360	25.46556781
361	25.35843043
362	25.34350512
363	25.29089509
364	25.20308913
365	25.07844411
366	24.98978298
367	24.98978249
368	24.88374077
369	24.88132843
370	24.87675851
371	24.71344858
372	24.61431924
373	24.52602965
374	24.52501967
375	24.46991966
376	24.3720109
377	24.26153653
378	24.26153639
379	24.26019622
380	24.18580124
381	23.97703827
382	23.97471368
383	23.90347744
384	23.86899705
385	23.74875054
386	23.74857545
387	23.74475956
388	23.74475608
389	23.64926972
390	23.61590564
391	23.55805809
392	23.5508157
393	23.54874914
394	23.43849418
395	23.42987631
396	23.42916547
397	23.42863485
398	23.38211823
399	23.29621663
400	23.29338098
401	23.23845856
402	23.1944667
403	23.1459422
404	23.07106712
405	23.01611825
406	22.93918867
407	22.83957012
408	22.7293041
409	22.70576382
410	22.66913927
411	22.52674194
412	22.37445443
413	22.32338385
414	22.2891806
415	22.28916594
416	22.28619824
417	22.2419955
418	22.20951212
419	22.19349221
420	22.16180308
421	22.13940305
422	22.13940039
423	22.1106229
424	22.0858643
425	22.01438187
426	21.94604166
427	21.93133192
428	21.8610106
429	21.81562518
430	21.75025371
431	21.53700792
432	21.40374746
433	21.39076061
434	21.30677969
435	21.3051485
436	21.30273329
437	21.24110269
438	21.22853284
439	21.16018043
440	21.15994635
441	21.06863761
442	21.06863542
443	21.06749397
444	21.04910392
445	21.04910125
446	20.94024734
447	20.93933806
448	20.91278203
449	20.91278169
450	20.88818022
451	20.87870938
452	20.86942696
453	20.85389933
454	20.85389857
455	20.79828485
456	20.64048982
457	20.64023778
458	20.61085208
459	20.54643124
460	20.46051289
461	20.36677596
462	20.36607503
463	20.36378011
464	20.36377914
465	20.30882254
466	20.30882244
467	20.25522615
468	20.25310989
469	20.24945981
470	20.24270188
471	20.22708442
472	20.14756977
473	20.103083
474	20.10308178
475	20.10308029
476	20.08486089
477	20.08450811
478	20.0845077
479	19.99801731
480	19.99801681
481	19.9621342
482	19.83156449
483	19.83156364
484	19.81474951
485	19.76649876
486	19.75931327
487	19.73273893
