iter	Passed	Remaining
0	0	290
1	0	286
2	0	209
3	1	252
4	1	286
5	2	279
6	2	259
7	2	243
8	2	227
9	2	209
10	3	222
11	4	263
12	4	260
13	4	252
14	4	242
15	4	236
16	4	228
17	5	238
18	5	232
19	6	254
20	6	249
21	7	268
22	8	276
23	8	270
24	8	278
25	9	278
26	10	294
27	10	296
28	11	293
29	11	287
30	11	283
31	11	283
32	11	277
33	12	287
34	13	294
35	13	290
36	13	287
37	14	284
38	14	287
39	15	288
40	15	285
41	15	283
42	15	280
43	16	288
44	17	290
45	17	287
46	18	288
47	18	295
48	19	297
49	20	301
50	20	299
51	20	300
52	21	296
53	21	299
54	22	303
55	23	307
56	23	305
57	24	311
58	24	309
59	25	310
60	25	312
61	26	320
62	27	317
63	27	315
64	27	313
65	27	309
66	28	309
67	28	307
68	28	304
69	29	304
70	29	304
71	29	302
72	30	300
73	30	303
74	31	301
75	31	299
76	31	296
77	31	293
78	31	290
79	32	293
80	33	293
81	33	294
82	34	293
83	34	296
84	35	295
85	35	296
86	36	295
87	37	300
88	37	298
89	38	301
90	39	305
91	39	302
92	39	301
93	40	303
94	41	306
95	42	309
96	43	312
97	43	311
98	43	309
99	44	308
100	45	311
101	45	313
102	46	316
103	47	314
104	47	313
105	48	314
106	48	312
107	48	313
108	49	315
109	50	315
110	50	314
111	51	313
112	51	312
113	51	311
114	52	314
115	53	313
116	53	311
117	54	313
118	54	312
119	55	311
120	55	311
121	56	312
122	56	310
123	56	308
124	57	311
125	57	309
126	58	311
127	59	309
128	59	309
129	60	311
130	61	311
131	61	309
132	61	308
133	61	306
134	62	307
135	62	305
136	63	304
137	63	303
138	63	301
139	64	302
140	65	304
141	66	305
142	66	305
143	67	307
144	68	308
145	68	307
146	69	306
147	69	307
148	70	305
149	70	304
150	71	305
151	72	306
152	73	308
153	73	309
154	74	307
155	74	305
156	74	303
157	74	303
158	75	304
159	76	303
160	76	304
161	77	304
162	78	305
163	78	304
164	79	304
165	79	303
166	79	302
167	80	303
168	81	302
169	82	303
170	82	302
171	82	301
172	83	301
173	83	299
174	83	298
175	84	299
176	85	298
177	85	299
178	86	300
179	87	301
180	87	299
